cap dqbuf: 3 seq:     43 bytesused: 41831 ts: 777.257979 delta: 51.984 ms fps: 14.85 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     44 bytesused: 41824 ts: 777.306000 delta: 48.021 ms fps: 14.95 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     45 bytesused: 41836 ts: 777.357979 delta: 51.979 ms fps: 15.02 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     46 bytesused: 41836 ts: 777.409944 delta: 51.965 ms fps: 15.09 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     47 bytesused: 41857 ts: 777.457985 delta: 48.041 ms fps: 15.18 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     48 bytesused: 41865 ts: 777.509958 delta: 51.973 ms fps: 15.25 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     49 bytesused: 41873 ts: 777.558005 delta: 48.047 ms fps: 15.33 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     50 bytesused: 41880 ts: 777.609982 delta: 51.977 ms fps: 15.39 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     51 bytesused: 41907 ts: 777.661950 delta: 51.968 ms fps: 15.46 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     52 bytesused: 41922 ts: 777.709985 delta: 48.035 ms fps: 15.53 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     53 bytesused: 41924 ts: 777.761962 delta: 51.977 ms fps: 15.59 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     54 bytesused: 41918 ts: 777.813927 delta: 51.965 ms fps: 15.64 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     55 bytesused: 41917 ts: 777.861975 delta: 48.048 ms fps: 15.71 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     56 bytesused: 41931 ts: 777.913947 delta: 51.972 ms fps: 15.77 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     57 bytesused: 41925 ts: 777.961983 delta: 48.036 ms fps: 15.83 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     58 bytesused: 41912 ts: 778.013962 delta: 51.979 ms fps: 15.88 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     59 bytesused: 41932 ts: 778.065946 delta: 51.984 ms fps: 15.93 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     60 bytesused: 41943 ts: 778.113973 delta: 48.027 ms fps: 15.99 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     61 bytesused: 41935 ts: 778.165952 delta: 51.979 ms fps: 16.04 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     62 bytesused: 41932 ts: 778.217913 delta: 51.961 ms fps: 16.08 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     63 bytesused: 41924 ts: 778.265959 delta: 48.046 ms fps: 16.14 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     64 bytesused: 41944 ts: 778.317921 delta: 51.962 ms fps: 16.18 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     65 bytesused: 41918 ts: 778.365959 delta: 48.038 ms fps: 16.23 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     66 bytesused: 41948 ts: 778.417947 delta: 51.988 ms fps: 16.27 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     67 bytesused: 41943 ts: 778.469918 delta: 51.971 ms fps: 16.31 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     68 bytesused: 41919 ts: 778.517958 delta: 48.040 ms fps: 16.36 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     69 bytesused: 41921 ts: 778.569934 delta: 51.976 ms fps: 16.40 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     70 bytesused: 41949 ts: 778.621894 delta: 51.960 ms fps: 16.43 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     71 bytesused: 41935 ts: 778.669946 delta: 48.052 ms fps: 16.48 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     72 bytesused: 41914 ts: 778.721924 delta: 51.978 ms fps: 16.51 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     73 bytesused: 41932 ts: 778.769948 delta: 48.024 ms fps: 16.56 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     74 bytesused: 41919 ts: 778.821925 delta: 51.977 ms fps: 16.59 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     75 bytesused: 41954 ts: 778.873897 delta: 51.972 ms fps: 16.62 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     76 bytesused: 41921 ts: 778.921933 delta: 48.036 ms fps: 16.67 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     77 bytesused: 41929 ts: 778.973915 delta: 51.982 ms fps: 16.70 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     78 bytesused: 41942 ts: 779.025877 delta: 51.962 ms fps: 16.72 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     79 bytesused: 41938 ts: 779.073927 delta: 48.050 ms fps: 16.77 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     80 bytesused: 41917 ts: 779.125887 delta: 51.960 ms fps: 16.79 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     81 bytesused: 41939 ts: 779.173923 delta: 48.036 ms fps: 16.83 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     82 bytesused: 41944 ts: 779.225917 delta: 51.994 ms fps: 16.86 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     83 bytesused: 41948 ts: 779.277883 delta: 51.966 ms fps: 16.88 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     84 bytesused: 41947 ts: 779.325923 delta: 48.040 ms fps: 16.92 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     85 bytesused: 41933 ts: 779.377896 delta: 51.973 ms fps: 16.95 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     86 bytesused: 41953 ts: 779.429879 delta: 51.983 ms fps: 16.97 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     87 bytesused: 41952 ts: 779.477897 delta: 48.018 ms fps: 17.01 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     88 bytesused: 41932 ts: 779.529872 delta: 51.975 ms fps: 17.03 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     89 bytesused: 41975 ts: 779.577936 delta: 48.064 ms fps: 17.06 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     90 bytesused: 41930 ts: 779.629895 delta: 51.959 ms fps: 17.08 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     91 bytesused: 41939 ts: 779.681872 delta: 51.977 ms fps: 17.11 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     92 bytesused: 41930 ts: 779.729905 delta: 48.033 ms fps: 17.14 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     93 bytesused: 41948 ts: 779.781890 delta: 51.985 ms fps: 17.16 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     94 bytesused: 41941 ts: 779.833856 delta: 51.966 ms fps: 17.18 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     95 bytesused: 41951 ts: 779.881893 delta: 48.037 ms fps: 17.21 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     96 bytesused: 41952 ts: 779.933866 delta: 51.973 ms fps: 17.23 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     97 bytesused: 41948 ts: 779.981895 delta: 48.029 ms fps: 17.26 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     98 bytesused: 41960 ts: 780.033876 delta: 51.981 ms fps: 17.28 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     99 bytesused: 41944 ts: 780.085855 delta: 51.979 ms fps: 17.30 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    100 bytesused: 41958 ts: 780.133873 delta: 48.018 ms fps: 17.33 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    101 bytesused: 41953 ts: 780.185887 delta: 52.014 ms fps: 17.34 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    102 bytesused: 41917 ts: 780.237846 delta: 51.959 ms fps: 17.36 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    103 bytesused: 41958 ts: 780.285870 delta: 48.024 ms fps: 17.39 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    104 bytesused: 41965 ts: 780.337849 delta: 51.979 ms fps: 17.40 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    105 bytesused: 41962 ts: 780.385877 delta: 48.028 ms fps: 17.43 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    106 bytesused: 41957 ts: 780.437856 delta: 51.979 ms fps: 17.45 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    107 bytesused: 41940 ts: 780.489839 delta: 51.983 ms fps: 17.46 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    108 bytesused: 41946 ts: 780.537878 delta: 48.039 ms fps: 17.49 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    109 bytesused: 41925 ts: 780.589848 delta: 51.970 ms fps: 17.50 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    110 bytesused: 41957 ts: 780.641826 delta: 51.978 ms fps: 17.52 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    111 bytesused: 41950 ts: 780.689843 delta: 48.017 ms fps: 17.54 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    112 bytesused: 41964 ts: 780.741822 delta: 51.979 ms fps: 17.56 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    113 bytesused: 41956 ts: 780.789858 delta: 48.036 ms fps: 17.58 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    114 bytesused: 41949 ts: 780.841844 delta: 51.986 ms fps: 17.59 field: None (ts-monotonic, ts-src-soe)
